City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
51,Bambous Virieux,-20.3428,57.7575,73.65,88,20,9.86,MU,2021-06-06 16:27:03,few clouds
52,Amambai,-23.1042,-55.2258,82.67,27,99,6.35,BR,2021-06-06 16:27:05,overcast clouds
53,Alofi,-19.0595,-169.9187,62.49,94,90,1.14,NU,2021-06-06 16:27:06,overcast clouds
54,Thompson,55.7435,-97.8558,57.36,88,90,0.0,CA,2021-06-06 16:27:07,overcast clouds
55,Port Hardy,50.6996,-127.4199,50.18,87,90,10.36,CA,2021-06-06 16:27:09,light rain
56,Banda Aceh,5.5577,95.3222,80.42,77,98,14.52,ID,2021-06-06 16:27:10,overcast clouds
57,Daru,-9.0763,143.2092,77.04,88,99,17.92,PG,2021-06-06 16:27:11,overcast clouds
58,Kailua,21.4022,-157.7394,75.18,74,20,6.91,US,2021-06-06 16:27:13,few clouds
59,Valleyview,55.0667,-117.2859,53.64,43,81,13.8,CA,2021-06-06 16:27:14,broken clouds
60,Diffa,13.3154,12.6113,101.77,17,46,19.71,NE,2021-06-06 16:27:15,scattered clouds
61,Marawi,7.9986,124.2928,64.65,94,100,2.86,PH,2021-06-06 16:27:17,overcast clouds
62,Te Anau,-45.4167,167.7167,36.48,93,22,1.28,NZ,2021-06-06 16:27:18,few clouds
63,Opuwo,-18.0607,13.84,74.59,22,0,9.66,NA,2021-06-06 16:27:19,clear sky
64,Hermanus,-34.4187,19.2345,70.9,45,9,7.25,ZA,2021-06-06 16:27:21,clear sky
65,Tarakan,3.3,117.6333,81.48,78,100,4.7,ID,2021-06-06 16:27:22,moderate rain
66,Yellowknife,62.456,-114.3525,45.32,65,75,5.99,CA,2021-06-06 16:27:23,broken clouds
67,Norman Wells,65.282,-126.8329,44.64,87,90,12.66,CA,2021-06-06 16:27:25,light rain
68,Elizabeth City,36.2946,-76.2511,91.06,71,1,5.75,US,2021-06-06 16:27:26,clear sky
69,Ajaccio,42.0,8.9167,70.29,69,0,4.43,FR,2021-06-06 16:27:27,clear sky
70,Albany,42.6001,-73.9662,89.62,47,56,1.99,US,2021-06-06 16:22:50,broken clouds
71,Uvira,-3.4067,29.1458,80.73,75,82,6.4,CD,2021-06-06 16:27:30,broken clouds
72,Pangnirtung,66.1451,-65.7125,42.8,45,75,9.22,CA,2021-06-06 16:27:31,broken clouds
73,Alihe,50.5667,123.7167,49.51,80,2,2.17,CN,2021-06-06 16:27:32,clear sky
74,Hilo,19.7297,-155.09,72.28,81,90,5.75,US,2021-06-06 16:27:34,overcast clouds
75,Urut,41.0714,44.3964,56.16,93,79,3.74,AM,2021-06-06 16:27:36,broken clouds
76,Tigil,57.8,158.6667,42.46,86,84,6.24,RU,2021-06-06 16:27:38,broken clouds
77,Mataura,-46.1927,168.8643,44.06,86,99,2.08,NZ,2021-06-06 16:27:39,overcast clouds
78,Leningradskiy,69.3833,178.4167,33.28,91,92,11.21,RU,2021-06-06 16:27:40,overcast clouds
79,Tombouctou,20.0,-3.0,113.79,6,3,15.59,ML,2021-06-06 16:27:43,clear sky
80,Macas,-2.3167,-78.1167,71.35,94,75,3.44,EC,2021-06-06 16:27:44,light rain
81,Saint-Pierre,-21.3393,55.4781,73.08,83,75,6.91,RE,2021-06-06 16:27:45,light rain
82,Poum,-20.2333,164.0167,72.54,60,93,18.72,NC,2021-06-06 16:27:47,overcast clouds
83,Kapaa,22.0752,-159.319,75.52,82,75,1.99,US,2021-06-06 16:27:48,light rain
84,Luderitz,-26.6481,15.1594,66.74,42,0,2.04,NA,2021-06-06 16:27:50,clear sky
85,Asau,46.4333,26.4,67.28,54,12,1.66,RO,2021-06-06 16:27:51,few clouds
